Id;Materia;Tematica;N_palabras_clave;Palabras_clave;Criterio_puntuacion_resumen;Palabras_clave_compartidas;Otras_materias_con_esas_palabras;Notas_desambiguacion
1;Àlgebra Lineal;Algebra i Geometria;34;grassmann | dim(ker) | producto escalar | subespacio | subespacio propio | subespacio trivial | matriz | determinante | rango de una matriz | autovalor | autovectores | base | espacio vectorial | álgebra lineal | vector | transformación lineal | kernel | imagen | ortogonal | traza | inversa de una matriz | suma directa | dimensión de r | dim(u+v) | cuerpo finito | z_7 | ideal en un anillo | subconjunto | complemento ortogonal | proyección ortogonal | suma de vectores | producto mixto | paralelepípedo | volumen del paralelepípedo;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";imagen | kernel | paralelepípedo;Programari de Sistema | Visualització 3D | Visió per Computador;
2;Càlcul en una Variable;Calcul i Equacions;17;derivada | integral | límite | continuidad | continuidad en un punto | función continua | derivable | regla cadena | integral de 0 a 1 | integral dx | teorema fundamental del cálculo | sin(x | x^3 | x² dx | serie converge | sucesión de sumas parciales | radio de convergencia;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
3;Fonaments de Computadors;Sistemes i Seguretat Computacional;20;cpi | cycles per instruction | ancho de banda | throughput | latencia | arquitectura | bits | codificación huffman | entropía | cuello de botella | ciclo de reloj | instrucciones por segundo | fonaments de computadors | von neumann | programa almacenado | localidad temporal | localidad espacial | hazard | pipeline | alu;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";cuello de botella | entropía | throughput;Computació i Simulació d'Altes Prestacions | Teoria de la Informació | Sistemes Distribuïts i el Núvol;Comparte «entropía» con Teoria de la Informació y «cuello de botella» con HPC.
4;Iniciació a la Programació;Programacio de Software;15;cd | comando | directorio | retorno | valor de retorno | comando sube | cd .. | touch | find | redirección | pipe | operador de tubería | range(5) | iniciació a la programació | shell;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
5;Programari de Sistema;Algoritmia i Teoria de Jocs;5;kernel | proceso | thread | programari sistema | sistema operativo;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";kernel;Àlgebra Lineal | Visió per Computador;"«kernel» también puntúa en Àlgebra y Visió; en SO suele ir con proceso/thread."
6;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Algoritmia i Teoria de Jocs;16;grafo | vértice | arista | grafo bipartito | matching | floyd-warshall | árbol | algoritmia | combinatoria | vértices tiene | aristas tiene | merge sort | índice de morse | lema del apartado | grafo completo | grafo acíclico;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
7;Càlcul en Diverses Variables;Calcul i Equacions;15;derivada parcial | gradiente | jacobiano | integral doble | múltiples variables | plano tangente | punto crítico | derivada direccional | integral de x sobre | integral doble de | coordenadas cilíndricas | coordenadas esféricas | diferenciable | hessiana | plano tangente que aproxima;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";gradiente;Optimització;Comparte «gradiente» con Optimització i Càlcul DV.
8;Càlcul Numèric;Metodes Numerics i Optimitzacio;21;newton-raphson | trapecio | simpson | jacobi | sor | diferencias finitas | método numérico | integral numérica | punto fijo | error de truncamiento | aproximación del trapecio | regla de simpson | método del punto fijo | càlcul numèric | bisección | biseccion | método de bisección | tolerancia | error de redondeo | aritmética finita | método del punto fijo;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
9;Probabilitat;Probabilitat i Ciencia de Dades;22;probabilidad | p(a) | p(b) | poisson | bayes | eventos independientes | esperanza | varianza | distribución | muestreo | p(a y b) | p(a | b) | ley de probabilidad total | parámetro | población | muestra | estimación puntual | contraste de hipótesis | bondad de ajuste | nivel de significación | binomial;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
10;Programació Orientada als Objectes;Programacio de Software;23;objeto | clase | herencia | polimorfismo | encapsulación | equals | constructor | getter | setter | interface | programación orientada | quicksort | complejidad | recursión | búsqueda binaria | memoización | fibonacci | instancia | clase abstracta | principio liskov | método equals | método toString | variable static;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";complejidad;Tècniques de Disseny d'Algoritmes;
11;Bases de Dades Relacionals;Bases de Dades;20;sql | select | join | tabla | relacional | base datos | limit | where | group by | insert | bases datos relacionals | tabla en una bd | clave compuesta | having | from | acid | atomicidad | transacciones | consistencia | aislamiento;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";consistencia;Sistemes Distribuïts i el Núvol;"SQL/ACID; «consistencia» también en BDD No Relacionals."
12;Equacions Diferencials Ordinàries;Calcul i Equacions;11;edo | ecuación diferencial | wronskiano | ordinaria | equacions diferencials | y''+y | y'= | runge-kutta | euler | ecuación de calor | wronskiano;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
13;Modelització i Inferència;Probabilitat i Ciencia de Dades;24;inferencia | estimación | intervalo confianza | contraste | hipótesis | p-valor | potencia estadística | potencia de un contraste | bootstrap | verosimilitud | bayesiano | modelo estadístico | parámetro población | modelització inferència | estadístico t | distribución t | student | razón de verosimilitud | nivel de confianza | margen de error | bias-variance | odds ratio | nnt | ic 95;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";ic 95 | nnt | odds ratio;Mètodes d Anàlisi en Ciències de la Salut;
14;Tècniques de Disseny d'Algoritmes;Algoritmia i Teoria de Jocs;13;programación dinámica | voraz | divide y vencer | complejidad | diseño algoritmos | branch and bound | backtracking | elección voraz | subestructura óptima | orden bottom-up | código óptimo | algoritmo voraz | mochila voraz;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";complejidad | código óptimo | voraz;Programació Orientada als Objectes | Optimització | Teoria de la Informació;
15;Visualització 3D;Algebra i Geometria;39;iluminación | iluminación especular | iluminación ambiente | proyección | esfera | cilindro | cubo | 3d | visualización | perspectiva | traslación | rotación | escala | coeficiente reducción | gouraud | phong | frustum | viewport | paralelepípedo | volumen | superficie nivel | distancia bottleneck | wasserstein | puntos definen una recta | recta perpendicular | transformación de traslación | transformación de rotación | volumen de una esfera | volumen de un cilindro | volumen de un cubo | volumen de un cono | área de un rectángulo | área de un círculo | distancia entre | ángulo entre | vector director | plano | recta | geometría;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";paralelepípedo;Àlgebra Lineal;"Geometría 3D; puede solapar con Àlgebra (volúmenes) o TDA."
16;Anàlisi Complexa i de Fourier;Calcul i Equacions;28;fourier | complejo | residuo | laurent | holomorfa | transformada fourier | serie fourier | convolución | anàlisi complexa | cuerpo de los reales | módulo de i | conjugado | z=a+bi | forma exponencial | argumento de | teorema de los residuos | frecuencia fundamental | coeficiente de fourier | a_0 | coeficiente a_n | transformada inversa | expansion de laurent | residuo de 1/z | período | periodo | hz | 4 hz | espectro de frecuencias;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";convolución;Xarxes Neuronals i Aprenentatge Profund;"Fourier/complejos; «convolución» también en Xarxes/Visió."
17;Anàlisi de Dades Complexes;Probabilitat i Ciencia de Dades;23;análisis datos | regresión lineal | correlación | matriz correlación | sensibilidad | análisis de sensibilidad | datos complejos | consistencia eventual | reduce | gather | recall | precisión | f1 | matriz confusión | valor predictivo | coeficiente de correlación | anàlisi dades complexes | data augmentation | servidor sin estado | resolución de un sensor | pca | componentes principales | analisis de componentes principales;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";sensibilidad;Mètodes d Anàlisi en Ciències de la Salut;
18;Intel·ligència Artificial;Intel·ligencia Artificial i Aprenentatge Automatic;12;inteligencia artificial | modelo | agente | colas | modelo de colas | clasificación | regresión | clustering | machine learning | intel·ligència artificial | modelo basado en agentes | modelo estocástico;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";modelo;Modelització i Simulació;«clasificación/regresión» también en Aprenentatge i Xarxes Neuronals.
19;Mètodes Numèrics i Probabilístics;Metodes Numerics i Optimitzacio;11;monte carlo | réplicas | simulación | métodos numéricos | probabilístico | mètodes numèrics | simulación estocástica | generación de números pseudoaleatorios | simulación de eventos discretos | lista de eventos | convergencia de una simulación;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";lista de eventos | monte carlo | simulación | simulación de eventos discretos;Modelització i Simulació;"Monte Carlo / simulación; solapa amb Modelització i Simulació."
20;Optimització;Metodes Numerics i Optimitzacio;13;optimización | óptimo | gradiente | hessiano | programación lineal | dual | primal | voraz | simplex | optimització | variables de decisión | gradiente descendente | relajación sor;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";gradiente | voraz;Càlcul en Diverses Variables | Tècniques de Disseny d'Algoritmes;
