Id;Materia;Tematica;N_palabras_clave;Palabras_clave;Criterio_puntuacion_resumen;Palabras_clave_compartidas;Otras_materias_con_esas_palabras;Notas_desambiguacion
1;Àlgebra Lineal;Algebra i Geometria;34;grassmann | dim(ker) | producto escalar | subespacio | subespacio propio | subespacio trivial | matriz | determinante | rango de una matriz | autovalor | autovectores | base | espacio vectorial | álgebra lineal | vector | transformación lineal | kernel | imagen | ortogonal | traza | inversa de una matriz | suma directa | dimensión de r | dim(u+v) | cuerpo finito | z_7 | ideal en un anillo | subconjunto | complemento ortogonal | proyección ortogonal | suma de vectores | producto mixto | paralelepípedo | volumen del paralelepípedo;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";imagen | kernel;Computació i Simulació d'Altes Prestacions | Visió per Computador;
2;Càlcul en una Variable;Calcul i Equacions;18;derivada | integral | límite | continuidad | continuidad en un punto | función continua | derivable | regla cadena | integral de 0 a 1 | integral dx | teorema fundamental del cálculo | sin(x | x^3 | x² dx | serie converge | sucesión de sumas parciales | radio de convergencia | cálculo en una variable;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
3;Fonaments de Computadors;Sistemes i Seguretat Computacional;21;cpi | cycles per instruction | ancho de banda | throughput | latencia | arquitectura | codificación huffman | cuello de botella | ciclo de reloj | instrucciones por segundo | fonaments de computadors | von neumann | programa almacenado | localidad temporal | localidad espacial | hazard | pipeline | alu | fundamentos de computadores | 1 bit | valores puede representar;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";cuello de botella;Computació i Simulació d'Altes Prestacions;Comparte «entropía» con Teoria de la Informació y «cuello de botella» con HPC.
4;Iniciació a la Programació;Programacio de Software;12;python | función | array | variable | bucle | parámetro | módulo | range(5) | for i in | clase | iniciació a la programació | iniciación a la programación;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";clase | parámetro;Probabilitat | Programació Orientada als Objectes;
5;Programari de Sistema;Algoritmia i Teoria de Jocs;22;shell | terminal | pipe | redirección | cd | touch | comando | git | linux | unix | stdin | stdout | stderr | compilador | gcc | chmod | bash | script | programari sistema | software de sistema | wc -l | repositorio;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;"«kernel» también puntúa en Àlgebra y Visió; en SO suele ir con proceso/thread."
6;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Algoritmia i Teoria de Jocs;20;grafo | vértice | arista | grafo bipartito | matching | dijkstra | a* | camino mínimo | árbol | algoritmia | combinatoria | vértices tiene | aristas tiene | merge sort | índice de morse | lema del apartado | grafo completo | grafo acíclico | algoritmia y combinatoria en grafos | métodos heurísticos;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";grafo | merge sort;Tècniques de Disseny d'Algoritmes | Bases de Dades No Relacionals;
7;Càlcul en Diverses Variables;Calcul i Equacions;16;derivada parcial | gradiente | jacobiano | integral doble | múltiples variables | plano tangente | punto crítico | derivada direccional | integral de x sobre | integral doble de | coordenadas cilíndricas | coordenadas esféricas | diferenciable | hessiana | plano tangente que aproxima | cálculo en varias variables;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
8;Càlcul Numèric;Metodes Numerics i Optimitzacio;17;newton-raphson | trapecio | simpson | romberg | richardson | jacobi | sor | método numérico | integral numérica | error de truncamiento | regla de simpson | càlcul numèric | bisección | biseccion | método de bisección | error de redondeo | cálculo numérico;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
9;Probabilitat;Probabilitat i Ciencia de Dades;22;probabilidad | p(a) | p(b) | poisson | bayes | eventos independientes | esperanza | varianza | distribución | muestreo | p(a y b) | p(a | b) | ley de probabilidad total | parámetro | población | muestra | estimación puntual | contraste de hipótesis | bondad de ajuste | nivel de significación | binomial;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";binomial | parámetro | poisson | varianza;Iniciació a la Programació | Mètodes Numèrics i Probabilístics | Anàlisi de Dades Financeres | Anàlisi de Dades en Astrofísica;
10;Programació Orientada als Objectes;Programacio de Software;21;objeto | clase | herencia | polimorfismo | encapsulación | equals | constructor | getter | setter | interface | programación orientada | recursión | instancia | clase abstracta | principio liskov | método equals | método toString | variable static | programación orientada a los objetos | acoplamiento | cohesión;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";clase;Iniciació a la Programació;
11;Bases de Dades Relacionals;Bases de Dades;21;sql | select | join | tabla | relacional | base datos | limit | where | group by | insert | bases datos relacionals | tabla en una bd | clave compuesta | having | from | acid | atomicidad | transacciones | consistencia | aislamiento | bases de datos relacionales;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";consistencia;Sistemes Distribuïts i el Núvol;"SQL/ACID; «consistencia» también en BDD No Relacionals."
12;Equacions Diferencials Ordinàries;Calcul i Equacions;10;edo | ecuación diferencial | ordinaria | equacions diferencials | y''+y | y'= | runge-kutta | euler | ecuación de calor | ecuaciones diferenciales ordinarias;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";euler | runge-kutta;Mètodes Numèrics i Probabilístics;
13;Modelització i Inferència;Probabilitat i Ciencia de Dades;25;inferencia | estimación | intervalo confianza | contraste | hipótesis | p-valor | potencia estadística | potencia de un contraste | bootstrap | verosimilitud | bayesiano | modelo estadístico | parámetro población | modelització inferència | estadístico t | distribución t | student | razón de verosimilitud | nivel de confianza | margen de error | bias-variance | odds ratio | nnt | ic 95 | modelización e inferencia;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";bootstrap | ic 95 | nnt | odds ratio | verosimilitud;Anàlisi de Dades Complexes | Mètodes d Anàlisi en Ciències de la Salut;
