Id;Pregunta;Tema;Dificultad;Tipo;A;B;C;D;Correcta
1;¿Qué es el índice de Morse?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;De Betti;Persistencia;Homología;Número de direcciones negativas en punto crítico;D
2;¿Qué es un grafo desconexo?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Sin aristas;Con más de una componente conexa;Con vértices aislados;Un árbol;B
3;¿Qué es un grafo ponderado?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Con grados altos;Con muchos vértices;Un grafo completo;Donde las aristas tienen pesos o costes;D
4;¿Qué es un grafo euleriano?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Tiene circuito que recorre cada arista una vez;Grafo completo;Bipartito;Árbol;A
5;¿Qué es un grafo completo K_n?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Todos los vértices conectados;Árbol;Bipartito;Grafo vacío;A
6;¿Qué es un grafo completo K_n?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Todos los vértices conectados;Grafo vacío;Árbol;Bipartito;A
7;¿Qué es un grafo completo K_n?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Árbol;Grafo vacío;Todos los vértices conectados;Bipartito;C
8;¿Qué es un grafo euleriano?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Bipartito;Tiene circuito que recorre cada arista una vez;Grafo completo;Árbol;B
9;¿Qué es un grafo euleriano?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Grafo completo;Bipartito;Árbol;Tiene circuito que recorre cada arista una vez;D
10;¿Qué es un grafo euleriano?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Bipartito;Grafo completo;Tiene circuito que recorre cada arista una vez;Árbol;C
11;¿Qué es un grafo euleriano?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Grafo completo;Bipartito;Tiene circuito que recorre cada arista una vez;Árbol;C
12;¿Qué es un diagrama de persistencia?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Un complejo;Un barcode;Puntos (nacimiento muerte) de características topológicas;Un grafo;C
13;¿Qué es un grafo euleriano?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Teoria;Grafo completo;Bipartito;Árbol;Tiene circuito que recorre cada arista una vez;D
14;¿Cuál es la complejidad de Dijkstra con heap binario?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;O(V log V);O((V+E) log V);O(V²);O(V+E);B
15;¿Qué es el teorema de König-Egerváry?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;En bipartitos: tamaño matching = cubierta de vértices;Coloreado;Teorema de Hall;Flujo máximo;A
16;¿Qué es el teorema de König-Egerváry?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;Teorema de Hall;Coloreado;En bipartitos: tamaño matching = cubierta de vértices;Flujo máximo;C
17;En grafo bipartito con partición (X,Y), ¿qué acota el matching máximo?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;min(|X|,|Y|);max(|X|,|Y|);|X|+|Y|;|E|;A
18;En un grafo bipartito con particion (X,Y), el tamano del matching maximo es acotado por:;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;|X|+|Y|;|E|;min(|X|,|Y|);max(|X|,|Y|);C
19;En grafo bipartito con partición (X,Y), ¿qué acota el matching máximo?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;min(|X|,|Y|);|E|;max(|X|,|Y|);|X|+|Y|;A
20;¿Cuál es la complejidad de Dijkstra con heap binario?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;O((V+E) log V);O(V+E);O(V log V);O(V²);A
21;Para Floyd-Warshall en grafo con n vértices, ¿cuál es la complejidad?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;O(n²);O(n³);O(n² log n);O(n⁴);B
22;¿Qué es el teorema de König-Egerváry?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;Coloreado;Flujo máximo;En bipartitos: tamaño matching = cubierta de vértices;Teorema de Hall;C
23;¿Qué es el teorema de König-Egerváry?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;Teorema de Hall;Flujo máximo;En bipartitos: tamaño matching = cubierta de vértices;Coloreado;C
24;Para Floyd-Warshall en grafo con n vértices, ¿cuál es la complejidad?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;O(n⁴);O(n²);O(n³);O(n² log n);C
25;Para Floyd-Warshall en grafo con n vértices, ¿cuál es la complejidad?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;O(n³);O(n²);O(n⁴);O(n² log n);A
26;¿Qué es el teorema de König-Egerváry?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Teoria;Flujo máximo;En bipartitos: tamaño matching = cubierta de vértices;Teorema de Hall;Coloreado;B
27;Para Floyd-Warshall en grafo con n vértices, ¿cuál es la complejidad?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;O(n²);O(n³);O(n² log n);O(n⁴);B
28;En un grafo bipartito con particion (X,Y), el tamano del matching maximo es acotado por:;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;|E|;|X|+|Y|;min(|X|,|Y|);max(|X|,|Y|);C
29;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;5;No se puede determinar;1;6;D
30;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;5;6;No se puede determinar;1;B
31;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;5;6;No se puede determinar;1;B
32;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;6;No se puede determinar;1;5;A
33;En un grafo bipartito con particion (X,Y), el tamano del matching maximo es acotado por: (concepto);Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;max(|X|,|Y|);min(|X|,|Y|);|E|;|X|+|Y|;B
34;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;1;6;No se puede determinar;5;B
35;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene? (concepto);Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;1;5;No se puede determinar;6;D
36;Para Floyd-Warshall en grafo con n vértices, ¿cuál es la complejidad? (variante);Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;O(n⁴);O(n² log n);O(n³);O(n²);C
37;En grafo bipartito con partición (X,Y), ¿qué acota el matching máximo?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;min(|X|,|Y|);|E|;|X|+|Y|;max(|X|,|Y|);A
38;En grafo bipartito con partición (X,Y), ¿qué acota el matching máximo?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Teoria;|X|+|Y|;max(|X|,|Y|);min(|X|,|Y|);|E|;C
39;Aristas en grafo completo con 4 vértices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;4-1;4;16;6;D
40;¿Cuántos árboles de expansión en K3?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;2;3;6;1;B
41;¿Cuántos vértices tiene un 2-símplice?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;1;4;3;2;C
42;¿Cuántas aristas tiene un triángulo (2-símplice)?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;3;1;4;2;A
43;¿Cuántos vértices tiene un 1-símplice?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;3;1;0;2;D
44;C(6,2) = ?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;15;6;18;12;A
45;¿Cuántos caminos de longitud 2 en grafo completo K4?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;6;12;16;4;B
46;¿Cuántos caminos de longitud 2 en grafo completo K4?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;4;16;12;6;C
47;Aristas en grafo completo con 6 vertices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;18;36;15;12;C
48;Aristas en grafo completo con 6 vértices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;18;36;12;15;D
49;Permutaciones de 4 elementos?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;4;12;24;16;C
50;Aristas en grafo completo con 4 vértices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;4;6;16;4-1;B
51;Grado de vértice en grafo completo K5?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Facil;Calculo;5;4;10;20;B
52;Grafo 10 vértices, 15 aristas, sin ciclos. ¿Componentes conexas?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;5;1;No determinado;6;D
53;¿Cuántos caminos de longitud 2 en grafo completo K4?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;6;4;12;16;C
54;¿Cuántas aristas tiene un grafo completo de 3 vértices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;3;9;6;2;A
55;¿Cuántas aristas tiene un grafo completo de 7 vértices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;21;7;42;14;A
56;¿Cuántos vértices tiene un grafo con 5 aristas y todos de grado 2?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;3;10;4;5;D
57;Grafo 10 vértices, 15 aristas, sin ciclos. ¿Componentes conexas?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;No determinado;6;1;5;B
58;¿Cuántas aristas tiene un grafo con 4 vértices todos de grado 2?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;2;8;6;4;D
59;¿Cuántas aristas tiene un grafo con 8 vértices todos de grado 3?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;8;12;24;6;B
60;¿Cuántos vértices tiene un grafo completo con 15 aristas?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;6;5;10;15;A
61;¿Cuántas aristas tiene un grafo con 5 vértices y suma de grados 14?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;5;6;7;8;C
62;¿Cuántos vértices tiene un grafo si tiene 8 aristas y cada vértice tiene grado 2?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;16;4;8;6;C
63;¿Cuántas aristas tiene un grafo con 5 vértices donde cada uno tiene grado 3?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Media;Calculo;5;8;No existe;15;C
64;Para el algoritmo de Floyd-Warshall, cual es su complejidad en un grafo con n vertices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;O(n^2);O(n^3);O(n^4);O(n^2 log n);B
65;¿Cuántas aristas tiene un grafo con 5 vértices donde 3 tienen grado 2 y 2 tienen grado 1?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;5;8;3;4;D
66;Para el algoritmo de Floyd-Warshall, cual es su complejidad en un grafo con n vertices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;O(n^3);O(n^4);O(n^2);O(n^2 log n);A
67;Para el algoritmo de Floyd-Warshall, cual es su complejidad en un grafo con n vertices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;O(n^3);O(n^4);O(n^2);O(n^2 log n);A
68;Un grafo completo de 4 vértices tiene 6 aristas. ¿Cuántas hay que quitar para obtener un árbol?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;1;2;3;4;B
69;¿Cuántas aristas tiene un grafo con 9 vértices donde 5 tienen grado 2 y 4 tienen grado 3?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;11;10;22;9;A
70;¿Cuántas aristas tiene un grafo con 6 vértices donde 4 tienen grado 2 y 2 tienen grado 1?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;10;5;6;4;B
71;Para el algoritmo de Floyd-Warshall, cual es su complejidad en un grafo con n vertices? (concepto);Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;O(n^3);O(n^4);O(n^2 log n);O(n^2);A
72;En un grafo bipartito con particion (X,Y), el tamano del matching maximo es acotado por: (concepto);Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;|X|+|Y|;min(|X|,|Y|);|E|;max(|X|,|Y|);B
73;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene? (concepto);Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;1;No se puede determinar;5;6;D
74;Dado un grafo con 10 vertices y 15 aristas, sin ciclos. Cuantas componentes conexas tiene? (concepto);Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;No se puede determinar;1;6;5;C
75;Para el algoritmo de Floyd-Warshall, cual es su complejidad en un grafo con n vertices?;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;Dificil;Calculo;O(n^3);O(n^2 log n);O(n^4);O(n^2);A
76;¿Qué es el módulo de un complejo z?;Anàlisi Complexa i de Fourier;Facil;Teoria;Su parte real;La distancia al origen;Su argumento;Su conjugado;B
77;¿Qué es el argumento de un complejo?;Anàlisi Complexa i de Fourier;Facil;Teoria;La parte imaginaria;El ángulo con el eje real positivo;El módulo;El conjugado;B
78;¿Qué es el complejo de Čech?;Anàlisi Complexa i de Fourier;Facil;Teoria;Intersección de bolas de radio ε;Alpha;Vietoris-Rips;Delaunay;A
79;¿Qué es el cuerpo de los complejos?;Anàlisi Complexa i de Fourier;Facil;Teoria;De los naturales;C con suma y producto;De los enteros;De los reales;B
80;¿Qué es el argumento de un complejo?;Anàlisi Complexa i de Fourier;Facil;Teoria;Ángulo con el eje real;Parte imaginaria;Parte real;Módulo;A
81;¿Qué es una función holomorfa?;Anàlisi Complexa i de Fourier;Facil;Teoria;Integrable;Continua;Derivable en sentido complejo;Acotada;C
82;¿Qué es una función holomorfa?;Anàlisi Complexa i de Fourier;Facil;Teoria;Real;Acotada;Continua;Derivable en sentido complejo;D
83;¿Qué es la convolución?;Anàlisi Complexa i de Fourier;Facil;Teoria;Autocorrelación;Producto;Integral del producto de funciones desplazadas;Correlación;C
84;¿Qué es una función holomorfa?;Anàlisi Complexa i de Fourier;Facil;Teoria;Continua;Integrable;Compleja diferenciable en abierto;Analítica real;C
85;¿Qué es una función holomorfa?;Anàlisi Complexa i de Fourier;Facil;Teoria;Compleja diferenciable en abierto;Continua;Integrable;Analítica real;A
86;¿Qué es una función holomorfa?;Anàlisi Complexa i de Fourier;Facil;Teoria;Compleja diferenciable en abierto;Continua;Analítica real;Integrable;A
87;¿Qué es una función holomorfa?;Anàlisi Complexa i de Fourier;Facil;Teoria;Compleja diferenciable en abierto;Integrable;Analítica real;Continua;A
88;¿Qué es el cuerpo de los reales?;Anàlisi Complexa i de Fourier;Media;Teoria;R con suma y producto usual;De los enteros;De los complejos;De los racionales;A
